run,runningTime,seed,testAccuracy,trainAccuracy
1,2.738288402557373,1,0.9450258127528952,0.9452427998323454
2,1.36384916305542,2,0.9570140490668904,0.9591971043106285
3,1.2122206687927246,3,0.9560889516413695,0.9576420124512228
4,1.1892945766448975,4,0.9577681443154804,0.9589938386074056
5,1.1458115577697754,5,0.941963666620441,0.9432670949150507
6,1.1106314659118652,6,0.9455033178031907,0.9467083705689604
7,1.0852200984954834,7,0.9577770010485844,0.9575244533516796
8,1.0370759963989258,8,0.957186113653968,0.9574772625615029
9,1.104072093963623,9,0.9554292131676845,0.9598375586013318
10,1.0615417957305908,10,0.9598024897419848,0.958179692418383
