run,runningTime,seed,testAccuracy,trainAccuracy
1,1.9801912307739258,1,0.9584680252986648,0.9584850474541873
2,0.9593601226806641,2,0.9570908581828363,0.9591330343796711
3,0.9363665580749512,3,0.9564942367163339,0.9577414348812224
4,0.8932836055755615,4,0.9575332866152768,0.9588836431004601
5,0.9054319858551025,5,0.9577298050139276,0.9574844199424737
6,0.9208617210388184,6,0.9455316142705757,0.9480956493255115
7,0.90386962890625,7,0.9550357192884158,0.958126606491721
8,0.868750810623169,8,0.9568959435626102,0.9576889842376568
9,0.9205288887023926,9,0.9567862387245647,0.9595633318378944
10,0.9081676006317139,10,0.9559897100743934,0.9582946061823524
