run,runningTime,seed,testAccuracy,trainAccuracy
1,3.0665342807769775,1,0.9450258127528952,0.9452427998323454
2,1.4028704166412354,2,0.9570140490668904,0.9591971043106285
3,1.3292200565338135,3,0.9560889516413695,0.9576420124512228
4,1.2576220035552979,4,0.9577681443154804,0.9589938386074056
5,1.2430334091186523,5,0.941963666620441,0.9432670949150507
6,1.2308719158172607,6,0.9455033178031907,0.9467083705689604
7,1.2510266304016113,7,0.9577770010485844,0.9575244533516796
8,1.1557543277740479,8,0.957186113653968,0.9574772625615029
9,1.2340025901794434,9,0.9554292131676845,0.9598375586013318
10,1.165057897567749,10,0.9598024897419848,0.958179692418383
