run,runningTime,seed,testAccuracy,trainAccuracy
1,1.9811522960662842,1,0.8819589786521557,0.8845578109095263
2,1.217538595199585,2,0.8841126721185434,0.8821980914774596
3,1.2220571041107178,3,0.8822449699964702,0.8828751005331983
4,1.1665873527526855,4,0.882673751922808,0.8818867021594784
5,1.138282060623169,5,0.8820551934544446,0.8835924836405115
6,1.0874817371368408,6,0.8820415078356628,0.8823056300268096
7,1.1065409183502197,7,0.8808109052778749,0.8832221590739134
8,1.122281551361084,8,0.8840222519540878,0.8819740569554197
9,1.1546077728271484,9,0.8840457640204955,0.8824390098241214
10,1.1358249187469482,10,0.8873356978927602,0.8815840753065324
