run,runningTime,seed,testAccuracy,trainAccuracy
1,1.4434754848480225,1,0.8848910751932537,0.8820211305437832
2,0.8248941898345947,2,0.880302393952121,0.8824813153961136
3,0.8290126323699951,3,0.8826960922125386,0.8824459830488242
4,0.8044657707214355,4,0.881990189208129,0.8823880953803861
5,0.8259599208831787,5,0.8817548746518106,0.8829098753595398
6,0.8626463413238525,6,0.8773578240904274,0.884101128614395
7,0.8123764991760254,7,0.8850679366858103,0.8818518739912726
8,0.7653861045837402,8,0.8812698412698413,0.884121450493132
9,0.7818667888641357,9,0.8830850989441298,0.8810228802153433
10,0.7839889526367188,10,0.8806924841827157,0.8831289539171888
