run,runningTime,seed,testAccuracy,trainAccuracy
1,1.9867627620697021,1,0.8819589786521557,0.8845578109095263
2,1.2083728313446045,2,0.8841126721185434,0.8821980914774596
3,1.2113173007965088,3,0.8822449699964702,0.8828751005331983
4,1.2135236263275146,4,0.882673751922808,0.8818867021594784
5,1.141676902770996,5,0.8820551934544446,0.8835924836405115
6,1.2404911518096924,6,0.8820415078356628,0.8823056300268096
7,1.195831298828125,7,0.8808109052778749,0.8832221590739134
8,1.1461315155029297,8,0.8840222519540878,0.8819740569554197
9,1.1748197078704834,9,0.8840457640204955,0.8824390098241214
10,1.1307373046875,10,0.8873356978927602,0.8815840753065324
